pow_hashrate_THs,blk
4.97E-08,0
6.96E-07,19
4.42E-06,267
6.31E-06,645
5.02E-06,969
5.62E-06,1300
9.89E-06,1676
5.12E-06,2060
6.01E-06,2410
6.31E-06,2789
6.01E-06,3173
6.66E-06,3556
6.51E-06,3943
7.01E-06,4322
5.87E-06,4689
6.36E-06,5053
5.32E-06,5396
4.77E-06,5714
5.27E-06,6033
5.27E-06,6350
5.52E-06,6688
5.22E-06,7018
5.67E-06,7363
6.46E-06,7717
6.06E-06,8067
4.72E-06,8354
5.77E-06,8706
5.92E-06,9048
5.62E-06,9394
5.62E-06,9739
5.72E-06,10091
4.92E-06,10395
5.72E-06,10741
5.57E-06,11093
6.06E-06,11454
6.11E-06,11815
5.62E-06,12126
5.22E-06,12460
6.56E-06,12836
5.67E-06,13189
6.81E-06,13587
4.52E-06,13894
6.31E-06,14229
7.11E-06,14615
6.16E-06,14979
4.42E-06,15267
4.77E-06,15460
6.21E-06,15813
5.12E-06,16123
4.42E-06,16401
2.83E-06,16568
3.58E-06,16694
4.62E-06,16956
3.48E-06,17192
3.83E-06,17426
4.18E-06,17671
3.78E-06,17904
4.42E-06,18157
3.78E-06,18370
3.58E-06,18612
3.98E-06,18862
3.93E-06,19089
4.18E-06,19339
3.58E-06,19563
3.23E-06,19726
3.73E-06,19870
3.28E-06,20088
6.46E-07,20214
1.59E-06,20348
1.14E-06,20408
2.88E-06,20524
3.68E-06,20781
4.08E-06,21037
4.03E-06,21255
1.24E-06,21363
7.46E-07,21408
3.98E-07,21451
2.73E-06,21531
3.18E-06,21683
4.67E-06,21944
2.98E-06,22149
3.58E-06,22357
2.88E-06,22558
3.53E-06,22761
2.78E-06,22954
4.03E-06,23188
3.68E-06,23409
4.08E-06,23567
4.42E-06,23845
4.32E-06,24103
2.88E-06,24315
2.04E-06,24466
3.88E-06,24675
3.08E-06,24884
4.23E-06,25081
3.18E-06,25272
4.13E-06,25559
3.73E-06,25800
3.28E-06,26011
3.03E-06,26183
1.64E-06,26287
3.18E-06,26469
3.48E-06,26673
3.43E-06,26879
4.13E-06,27104
4.52E-06,27389
4.08E-06,27624
4.77E-06,27899
3.88E-06,28166
2.88E-06,28371
4.87E-06,28613
2.58E-06,28801
5.92E-06,29121
6.21E-06,29433
5.37E-06,29759
8.00E-06,30174
8.70E-06,30772
8.40E-06,31263
7.90E-06,31740
8.15E-06,32215
7.00E-06,32626
1.12E-05,33119
9.35E-06,33634
1.12E-05,34128
1.03E-05,34610
8.69E-06,35019
7.72E-06,35399
9.73E-06,35865
1.36E-05,36390
