Date,HistVol  ,Datetime
1569661200000,63.49,28-Sep-19 09:00
1569657600000,63.46,28-Sep-19 08:00
1569654000000,63.51,28-Sep-19 07:00
1569650400000,63.5,28-Sep-19 06:00
1569646800000,63.5,28-Sep-19 05:00
1569643200000,63.5,28-Sep-19 04:00
1569639600000,63.49,28-Sep-19 03:00
1569636000000,63.49,28-Sep-19 02:00
1569632400000,63.49,28-Sep-19 01:00
1569628800000,63.48,28-Sep-19 00:00
1569625200000,63.39,27-Sep-19 23:00
1569621600000,63,27-Sep-19 22:00
1569618000000,63.01,27-Sep-19 21:00
1569614400000,63.03,27-Sep-19 20:00
1569610800000,63.02,27-Sep-19 19:00
1569607200000,63.04,27-Sep-19 18:00
1569603600000,62.91,27-Sep-19 17:00
1569600000000,62.84,27-Sep-19 16:00
1569596400000,62.92,27-Sep-19 15:00
1569592800000,62.94,27-Sep-19 14:00
1569589200000,62.95,27-Sep-19 13:00
1569585600000,62.85,27-Sep-19 12:00
1569582000000,62.83,27-Sep-19 11:00
1569578400000,62.78,27-Sep-19 10:00
1569574800000,62.81,27-Sep-19 09:00
1569571200000,62.74,27-Sep-19 08:00
1569567600000,62.73,27-Sep-19 07:00
1569564000000,62.73,27-Sep-19 06:00
1569560400000,62.72,27-Sep-19 05:00
1569556800000,62.71,27-Sep-19 04:00
1569553200000,62.72,27-Sep-19 03:00
1569549600000,62.49,27-Sep-19 02:00
1569546000000,62.46,27-Sep-19 01:00
1569542400000,62.44,27-Sep-19 00:00
1569538800000,62.45,26-Sep-19 23:00
1569535200000,62.35,26-Sep-19 22:00
1569531600000,62.33,26-Sep-19 21:00
1569528000000,61.98,26-Sep-19 20:00
1569524400000,61.87,26-Sep-19 19:00
1569520800000,61.88,26-Sep-19 18:00
1569517200000,60.1,26-Sep-19 17:00
1569513600000,59.62,26-Sep-19 16:00
1569510000000,59.59,26-Sep-19 15:00
1569506400000,59.26,26-Sep-19 14:00
1569502800000,59.28,26-Sep-19 13:00
1569499200000,59.31,26-Sep-19 12:00
1569495600000,59.35,26-Sep-19 11:00
1569492000000,59.35,26-Sep-19 10:00
1569488400000,59.35,26-Sep-19 09:00
1569484800000,59.36,26-Sep-19 08:00
1569481200000,59.38,26-Sep-19 07:00
1569477600000,59.39,26-Sep-19 06:00
1569474000000,59.41,26-Sep-19 05:00
1569470400000,59.41,26-Sep-19 04:00
1569466800000,59.44,26-Sep-19 03:00
1569463200000,59.41,26-Sep-19 02:00
1569459600000,59.52,26-Sep-19 01:00
1569456000000,59.22,26-Sep-19 00:00
1569452400000,59.21,25-Sep-19 23:00
1569448800000,59.05,25-Sep-19 22:00
1569445200000,58.78,25-Sep-19 21:00
1569441600000,58.97,25-Sep-19 20:00
1569438000000,58.97,25-Sep-19 19:00
1569434400000,58.85,25-Sep-19 18:00
1569430800000,58.7,25-Sep-19 17:00
1569427200000,58.68,25-Sep-19 16:00
1569423600000,58.66,25-Sep-19 15:00
1569420000000,58.51,25-Sep-19 14:00
1569416400000,58.4,25-Sep-19 13:00
1569412800000,58.32,25-Sep-19 12:00
1569409200000,58.19,25-Sep-19 11:00
1569405600000,58.12,25-Sep-19 10:00
1569402000000,57.81,25-Sep-19 09:00
1569398400000,57.52,25-Sep-19 08:00
1569394800000,57.54,25-Sep-19 07:00
1569391200000,57.53,25-Sep-19 06:00
1569387600000,57.28,25-Sep-19 05:00
1569384000000,57.24,25-Sep-19 04:00
1569380400000,57.25,25-Sep-19 03:00
1569376800000,57.2,25-Sep-19 02:00
1569373200000,57.19,25-Sep-19 01:00
1569369600000,57.18,25-Sep-19 00:00
1569366000000,57.07,24-Sep-19 23:00
1569362400000,56.18,24-Sep-19 22:00
1569358800000,56.09,24-Sep-19 21:00
1569355200000,33.56,24-Sep-19 20:00
1569351600000,32.45,24-Sep-19 19:00
1569348000000,32.35,24-Sep-19 18:00
1569344400000,32.47,24-Sep-19 17:00
1569340800000,32.29,24-Sep-19 16:00
1569337200000,32.03,24-Sep-19 15:00
1569333600000,31.95,24-Sep-19 14:00
1569330000000,31.92,24-Sep-19 13:00
1569326400000,32.82,24-Sep-19 12:00
1569322800000,32.83,24-Sep-19 11:00
1569319200000,33.03,24-Sep-19 10:00
1569315600000,33.12,24-Sep-19 09:00
1569312000000,33.49,24-Sep-19 08:00
1569308400000,33.49,24-Sep-19 07:00
1569304800000,33.49,24-Sep-19 06:00
1569301200000,33.5,24-Sep-19 05:00
1569297600000,33.57,24-Sep-19 04:00
1569294000000,33.59,24-Sep-19 03:00
1569290400000,33.51,24-Sep-19 02:00
1569286800000,33.51,24-Sep-19 01:00
1569283200000,33.5,24-Sep-19 00:00
1569279600000,33.52,23-Sep-19 23:00
