,blk,window,time,ticket_count,ticket_price,missed,pow_diff
0,144,144,1454963545,0,2.0,34.0,32767.74999809
1,288,144,1454972161,589,2.0,57.0,32767.74999809
2,432,144,1454983541,2880,2.0,76.0,54638.34516449
3,576,144,1455007202,2880,2.0,55.0,126603.63636364
4,720,144,1455086908,2866,2.0,63.0,258564.37673112
5,864,144,1455153486,2880,2.0,45.0,221498.05315696
6,1008,144,1455205355,2880,2.0,28.0,163557.62187443
7,1152,144,1455236711,2867,2.0,32.0,128034.03666716
8,1296,144,1455270596,1671,2.0,23.0,127824.45714286
9,1440,144,1455304969,1059,2.0,41.0,143138.73411651
10,1584,144,1455333485,250,2.0,26.0,169527.16125555
11,1728,144,1455381713,252,2.0,21.0,225370.14592247
12,1872,144,1455435148,962,2.0,23.0,241217.48168208
13,2016,144,1455485843,555,2.0,45.0,222194.91011825
14,2160,144,1455545005,430,2.0,22.0,196710.35951201
15,2304,144,1455584095,1035,2.0,38.0,157428.43781719
16,2448,144,1455617570,229,2.0,28.0,146147.09532251
17,2592,144,1455650228,348,2.0,31.0,157819.79587109
18,2736,144,1455678336,574,2.0,19.0,187656.21673396
19,2880,144,1455721283,510,2.0,28.0,251608.48268047
20,3024,144,1455774463,250,2.0,32.0,289210.22500635
21,3168,144,1455818776,403,2.0,15.0,275306.77018951
22,3312,144,1455864185,280,2.0,21.0,265194.06304051
23,3456,144,1455913057,261,2.0,15.0,253863.11289584
24,3600,144,1455960489,1018,2.0,20.0,233337.48240092
25,3744,144,1455997158,2880,2.0,21.0,213490.58065438
26,3888,144,1456033570,1265,2.0,15.0,219891.36187088
27,4032,144,1456069355,1048,2.0,22.0,242470.01926538
28,4176,144,1456125252,1624,2.0,35.0,279466.18038222
29,4320,144,1456178085,1612,2.0,16.0,258581.70751273
30,4464,144,1456221677,2216,2.0,17.0,224487.44866523
31,4608,144,1456264272,2413,2.0,29.0,207767.3513592
32,4752,144,1456291416,2284,2.0,16.0,201084.27831072
33,4896,144,1456326710,2647,2.0,34.0,242041.61474543
34,5040,144,1456374694,1358,2.57040101,36.0,293780.0763431
35,5184,144,1456418673,899,3.51843479,26.0,303707.13671194
36,5328,144,1456460517,935,4.54571897,34.0,305948.77693934
37,5472,144,1456510164,743,6.06521347,26.0,311988.22144883
38,5616,144,1456560781,548,7.43022286,20.0,292963.39673931
39,5760,144,1456604031,413,7.65591945,27.0,261968.67715801
40,5904,144,1456643361,335,6.33068791,23.0,247201.81757927
41,6048,144,1456681779,1112,4.2229037,26.0,250946.92694363
42,6192,144,1456728539,667,4.82237265,31.0,267765.08515919
43,6336,144,1456774204,1474,5.03722413,27.0,265166.68935125
44,6480,144,1456811955,247,7.82469917,22.0,256589.04873278
45,6624,144,1456854795,523,7.47481456,24.0,269060.72298509
46,6768,144,1456900102,1469,6.3404991,14.0,276624.46890369
47,6912,144,1456948449,295,9.60977349,16.0,273691.84283966
48,7056,144,1456988888,111,9.29593662,15.0,257004.69051769
49,7200,144,1457023961,2258,5.29218137,11.0,256874.09525576
50,7344,144,1457076468,105,10.48011259,16.0,283465.55356867
51,7488,144,1457121226,566,11.04516787,25.0,267214.73704318
52,7632,144,1457161820,119,10.35179425,12.0,254868.8643273
53,7776,144,1457203855,1673,5.97556325,21.0,256392.31368855
