,blk,window,ticket_count,ticket_price,pow_diff,circulation,ticket_pool_value,ticket_pool_size,pow_hashrate_THs,pow_work_total,date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,PriceRealised,btc_blk_est,DailyIssuedNtv,DailyIssuedUSD,inf_pct_ann,S2F,age,notes,blk_reward,Sply_ideal,PoWSply_ideal,PoSSply_ideal,FundSply_ideal,inflation_ideal,S2F_ideal,PoW_Income,PoS_Income,Fund_Income,ticket_dcr_cost,ticket_usd_cost,CapTicket,CapTicketPrice,dcr_hodl_rating,dcr_hodl_rating_tot,dcr_hodl_rating_pool,dcr_hodl_rating_posideal,CapAvg,PriceAvg,CapDelta,PriceDelta,CapTop,PriceTop,CapS2Fmodel,PriceS2Fmodel,CapPlanBmodel,PricePlanBmodel,CapInflow,PriceInflow,CapFee,PriceFee,MinerIncome,FeesPct,MinerCap,btc_blk
0,144.0,144,0,2.0,32767.74999809,1683122.70224552,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.19582664,1684492.1990361437,2695.319421695994,841347.6597108431,840449.2199036144,1.9467619370829967,0.5136734908113044,2695.319421696,1347.659710848,449.219903616,0.0,,,,,,,,0.0001,,,,0.0012000000000000001,,,,,,,,,,,,,33672.0
1,288.0,144,589,2.0,32767.74999809,1686267.24156968,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.19582664,1688984.3980722874,5390.638843392015,842695.3194216862,840898.4398072287,1.9415841260224878,0.5150433538249982,2695.319421696,1347.659710848,449.219903616,1178.0,,,,,,,,0.0001,,,,0.0012000000000000001,,,,,,,,,,,,,33744.0
2,432.0,144,2880,2.0,54638.34516449,1689411.78089384,0,0,0.0,0,2016-02-08 00:00:00+00:00,7235.0,331.0,791498.0,2391.2326284,,826689.667707288,0.0,35675.0194461916,0.0495396598240469,,0.05,,84.46512,,33.88018537,,0.00131209,0.49,,,1687121.7708312,1705.0,2050.0,49796.7101506,,34.79712468,,2.05,,71334.10559961,,,,,0.0,372384.0,1687121.7708312,,365.00000000000006,0.00273972602739726,0.0,$0.49 founders,31.19582664,1693476.5971084312,8085.958265088069,844042.9791325293,841347.6597108431,1.9364337847928523,0.5164132168386919,2695.319421696,1347.659710848,449.219903616,5760.0,2822.4,2822.4,0.001672908291977928,,,,,275563.2226357627,0.1633333333728484,-275563.2226357627,-0.1633333333728484,3306758.6716291523,1.9600000004741804,4.961527237386363,2.9408234326452622e-06,0.006997199642001852,4.147418261667335e-09,,,,,,,,33816.0
3,576.0,144,2880,2.0,126603.63636364,1692556.320218,249800000000,1249,0.0,0,2016-02-08 00:00:00+00:00,7235.0,331.0,791498.0,2391.2326284,,826689.667707288,0.0,35675.0194461916,0.0495396598240469,,0.05,,84.46512,,33.88018537,,0.00131209,0.49,,,1687121.7708312,1705.0,2050.0,49796.7101506,,34.79712468,,2.05,,71334.10559961,,,,,0.0,372384.0,1687121.7708312,,365.00000000000006,0.00273972602739726,0.0,$0.49 founders,31.19582664,1697968.7961445749,10781.277686783998,845390.6388433725,841796.8796144575,1.9313106953689747,0.5177830798523855,2695.319421696,1347.659710848,449.219903616,5760.0,2822.4,5644.8,0.003345816583955856,,,,,413344.833903644,0.24500000002963626,-413344.833903644,-0.24500000002963626,4960138.006843728,2.940000000355635,4.961527237386363,2.9408234326452622e-06,0.006997199642001852,4.147418261667335e-09,,,,,,,,33888.0
4,720.0,144,2866,2.0,258564.37673112,1695700.85954216,825800000000,4129,0.0,0,2016-02-09 00:00:00+00:00,15783.0,359.0,2807946.0,7821.57660167,,830321.8262878504,0.0,148829.140604156,0.0497602214452214,,0.05,,426.9427,,11.07150232,,0.001314025,0.49,,,1694534.33936296,8580.0,6129.0,153053.69501941,,33.64430474,,2.06,,206205.94375669,,,,,0.0,372528.0,7412.568531760015,,1.5966554653059073,0.6263091955210308,1.0,$0.49 founders,31.19582664,1702460.9951807186,13476.597108479922,846738.2985542156,842246.0995180719,1.926214642026907,0.5191529428660792,2695.319421696,1347.659710848,449.219903616,5732.0,2808.68,8453.48,0.004988674353556024,,,,,496740.2323804853,0.2931426179107287,-496740.2323804853,-0.2931426179107287,5960882.788565824,3.5177114149287445,2614937.8987179403,1.5431601697142325,474231.25573182694,0.2798593364063124,,,,,,,,33960.0
5,864.0,144,2880,2.0,221498.05315696,1698845.39886632,1399000000000,6995,0.0,0,2016-02-10 00:00:00+00:00,5469.0,161.0,1317896.0,8185.68944099,,1646880.2432801507,0.0,228174.595912554,0.0580866592721441,,0.05,,235.42523003,,17.73111914,,0.002549797,0.97,,,1697814.68379397,4053.0,2687.0,95753.38538233,,48.68573813,,2.06,,130818.57835289,,,,,0.0,372672.0,3280.344431009842,,0.7052157863560379,1.4180056932179002,2.0,Bittrex price data,31.19582664,1706953.1942168623,16171.916530175846,848085.9582650587,842695.3194216862,1.9211454113135897,0.5205228058797728,2695.319421696,1347.659710848,449.219903616,5760.0,5587.2,14040.68,0.008269854262671602,,,,,688430.2341970961,0.4054801980265104,-688430.2341970961,-0.4054801980265104,8261162.8103651535,4.865762376318125,18977066.191322666,11.177348371682204,7145934.383920909,4.20890127298962,,,,,,,,34032.0
6,1008.0,144,2880,2.0,163557.62187443,1701989.93819048,1975000000000,9875,0.0,0,2016-02-10 00:00:00+00:00,5469.0,161.0,1317896.0,8185.68944099,,1646880.2432801507,0.0,228174.595912554,0.0580866592721441,,0.05,,235.42523003,,17.73111914,,0.002549797,0.97,,,1697814.68379397,4053.0,2687.0,95753.38538233,,48.68573813,,2.06,,130818.57835289,,,,,0.0,372672.0,3280.344431009842,,0.7052157863560379,1.4180056932179002,2.0,Bittrex price data,31.19582664,1711445.393253006,18867.23595187201,849433.6179759018,843144.5393253006,1.9161027920170481,0.5218926688934665,2695.319421696,1347.659710848,449.219903616,5760.0,5587.2,19627.88,0.011560672779751884,,,,,825351.664066104,0.4861258840227233,-825351.664066104,-0.4861258840227233,9904219.968793247,5.833510608272679,18977066.191322666,11.177348371682204,7145934.383920909,4.20890127298962,,,,,,,,34104.0
7,1152.0,144,2867,2.0,128034.03666716,1705134.47751464,2551000000000,12755,0.0,0,2016-02-11 00:00:00+00:00,6910.0,292.0,2220122.0,7603.15753425,,2061624.0398858883,0.0,149393.504022381,0.0554274430113977,,0.06,,369.59019,,32.65816799,,0.0031871459999999996,1.21,,,1703821.52056685,6668.0,4502.0,52171.37474653,,15.6794033,,2.06,,70588.67363849,,,,,0.0,372816.0,6006.836772880051,,1.2868104995949283,0.7771152009676541,3.0,Bittrex price data,31.19582664,1715937.5922891498,21562.555373568197,850781.2776867449,843593.759228915,1.9110865751370576,0.5232625319071601,2695.319421696,1347.659710848,449.219903616,5734.0,6938.139999999999,26566.02,0.01559202045479603,,,,,979885.711043577,0.5751105378206371,-979885.711043577,-0.5751105378206371,11758628.532522924,6.901326453847647,4412841.104713826,2.589966760864544,970554.302340861,0.5696337853614879,,,,,,,,34176.0
8,1296.0,144,1671,2.0,127824.45714286,1708279.0168388,3127000000000,15635,0.0,0,2016-02-11 00:00:00+00:00,6910.0,292.0,2220122.0,7603.15753425,,2061624.0398858883,0.0,149393.504022381,0.0554274430113977,,0.06,,369.59019,,32.65816799,,0.0031871459999999996,1.21,,,1703821.52056685,6668.0,4502.0,52171.37474653,,15.6794033,,2.06,,70588.67363849,,,,,0.0,372816.0,6006.836772880051,,1.2868104995949283,0.7771152009676541,3.0,Bittrex price data,31.19582664,1720429.7913252935,24257.874795264383,852128.937397588,844042.9791325293,1.9060965538562678,0.5246323949208538,2695.319421696,1347.659710848,449.219903616,3342.0,4043.8199999999997,30609.84,0.01796540284912959,,,,,1100078.8586927226,0.6456538113961219,-1100078.8586927226,-0.6456538113961219,13200946.304312672,7.747845736753463,4412841.104713826,2.589966760864544,970554.302340861,0.5696337853614879,,,,,,,,34248.0
9,1440.0,144,1059,2.0,143138.73411651,1711423.55616296,3663600000000,18318,0.0,0,2016-02-11 00:00:00+00:00,6910.0,292.0,2220122.0,7603.15753425,,2061624.0398858883,0.0,149393.504022381,0.0554274430113977,,0.06,,369.59019,,32.65816799,,0.0031871459999999996,1.21,,,1703821.52056685,6668.0,4502.0,52171.37474653,,15.6794033,,2.06,,70588.67363849,,,,,0.0,372816.0,6006.836772880051,,1.2868104995949283,0.7771152009676541,3.0,Bittrex price data,31.19582664,1724921.9903614372,26953.194216960568,853476.5971084312,844492.1990361437,1.901132523511779,0.5260022579345475,2695.319421696,1347.659710848,449.219903616,2118.0,2562.7799999999997,33172.62,0.019469539267800595,,,,,1196233.3768120392,0.7020884302565097,-1196233.3768120392,-0.7020884302565097,14354800.521744471,8.425061163078118,4412841.104713826,2.589966760864544,970554.302340861,0.5696337853614879,,,,,,,,34320.0
